id,dataset,resource,base,model,property,type,ref,source,prepare,level,status,visibility,access,uri,eli,title,description
,,,,,,,,75,,,,,,atu:LTU_RSV_SKO,,Skuodo rajono savivaldybė,Skuodo rajono savivaldybė
,,,,,,,,77,,,,,,atu:LTU_RSV_TAU,,Tauragės rajono savivaldybė,Tauragės rajono savivaldybė
,,,,,,,,78,,,,,,atu:LTU_RSV_TEL,,Telšių rajono savivaldybė,Telšių rajono savivaldybė
,,,,,,,,79,,,,,,atu:LTU_RSV_TRA,,Trakų rajono savivaldybė,Trakų rajono savivaldybė
,,,,,,,,81,,,,,,atu:LTU_RSV_UKM,,Ukmergės rajono savivaldybė,Ukmergės rajono savivaldybė
,,,,,,,,82,,,,,,atu:LTU_RSV_UTR,,Utenos rajono savivaldybė,Utenos rajono savivaldybė
,,,,,,,,84,,,,,,atu:LTU_RSV_SHA,,Šakių rajono savivaldybė,Šakių rajono savivaldybė
,,,,,,,,85,,,,,,atu:LTU_RSV_SAL,,Šalčininkų rajono savivaldybė,Šalčininkų rajono savivaldybė
,,,,,,,,86,,,,,,atu:LTU_RSV_SVE,,Švenčionių rajono savivaldybė,Švenčionių rajono savivaldybė
,,,,,,,,87,,,,,,atu:LTU_RSV_SIL,,Šilalės rajono savivaldybė,Šilalės rajono savivaldybė
,,,,,,,,88,,,,,,atu:LTU_RSV_SHI,,Šilutės rajono savivaldybė,Šilutės rajono savivaldybė
,,,,,,,,89,,,,,,atu:LTU_RSV_SIR,,Širvintų rajono savivaldybė,Širvintų rajono savivaldybė
,,,,,,,,91,,,,,,atu:LTU_RSV_SIA,,Šiaulių rajono savivaldybė,Šiaulių rajono savivaldybė
,,,,,,,,94,,,,,,atu:LTU_RSV_JUR,,Jurbarko rajono savivaldybė,Jurbarko rajono savivaldybė
,,,,,,,,,add_values(),,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,level,ref,AdminUnitLevel,TIPAS,,2,completed,public,public,cv:level,,,
,,,,,,enum,,apskritis,,5,completed,public,public,atutype:LTU_APS,,,
,,,,,,,,savivaldybė,,5,completed,public,public,atutype:LTU_SV,,,
,,,,,,,,seniūnija,,5,completed,public,public,atutype:LTU_SEN,,,
,,,,,level.title@lt,string,,TIPAS,,5,completed,public,public,,,Pavadinimas,"Administracinio vieneto tipo pavadinimas (apskritis, savivaldybė, seniūnija)"
,,,,,level.abbreviation@lt,string,,TIPO_SANTRUMPA,,5,completed,public,public,,,Santrumpa,"Administracinio vieneto tipo santrumpa (apskritis - apskr., savivaldybė - sav., seniūnija - sen.)"
,,,,,name_gen@lt,string,,VARDAS_K,,5,completed,public,public,rdfs:label,,Vardas,Administracinio vieneto vardas kilmininko linksniu
,,,,,_label@lt,string,,VARDAS_K,,5,completed,public,public,,,Vardas,Administracinio vieneto vardas kilmininko linksniu
,,,,,name_gen_latin,string,,VARDAS_K_LOT,,4,completed,package,public,,,Vardas lotyniškomis raidėmis,Administracinio vieneto vardas kilmininko linksniu lotyniškomis raidėmis
,,,,,belongs_to,ref,AdminUnit[code],PRIKLAUSO_KODAS,,5,completed,public,public,,,Priklausomybė administraciniam vienetui,Administracinio vieneto priklausomybė hierarchiškai aukštesniam vienetui
,,,,,belongs_to.code,integer,,PRIKLAUSO_KODAS,,4,completed,package,public,,,Hierarchiškai aukštesnio administracinio vieneto kodas,Hierarchiškai aukštesnio administracinio vieneto kodas
,,,,,center,ref,Location[code],GYV_KODAS,,5,completed,public,public,dct:identifier,,Gyvenvietė,Administracinio vieneto centras
,,,,,center.code,integer,,GYV_KODAS,,5,completed,public,public,dct:identifier,,Gyvenvietė,Administracinio vieneto centras
,,,,,_created,date,D,NUO,,5,completed,public,public,dct:created,,Objekto atributų rinkinio galiojimo pradžia,Administracinio vieneto objekto atributų rinkinio galiojimo pradžios data
,,,,,_updated,date,D,IKI,,5,completed,public,public,dct:updated,,Objekto atributų rinkinio galiojimo pabaiga,Administracinio vieneto objekto atributų rinkinio galiojimo pabaigos data
,,,,,registered,date,D,ADM_NUO,,4,completed,package,public,,,Objekto įregistravimo data,Administracinio vieneto objekto įregistravimo data
,,,,,deregistered,date,D,ADM_IKI,,4,completed,package,public,,,Objekto išregistravimo data,Administracinio vieneto objekto išregistravimo data
,,,,,,,,,,,,,,,,,
,,,,LocationType,,,title@lt,/GYVENVIETES/GYVENVIETE,,2,completed,public,,skos:Concept,,Gyvenamosios vietovės tipas,Gyvenamosios vietovės tipas
,,,,,id,integer,,,,0,completed,package,public,,,Identifikatorius,Identifikatorius
,,,,,title@lt,string required,,TIPAS,,5,completed,package,public,,,Tipo pavadinimas,"Gyvenamosios vietovės tipas (miestas, miestelis, kaimas, viensėdis)"
,,,,,_label@lt,string,,TIPAS,,5,completed,public,public,,,Tipo pavadinimas,"Gyvenamosios vietovės tipas (miestas, miestelis, kaimas, viensėdis)"
,,,,,abbreviation@lt,string,,TIPO_SANTRUMPA,,5,completed,public,public,,,Tipo santrumpa,"Gyvenamosios vietovės tipo santrumpa (miestas - m., miestelis - mstl., kaimas - k., viensėdis - vs.)"
,,,,,,,,,,,,,,,,,
,,,,Location,,,code,/GYVENVIETES/GYVENVIETE,,5,completed,public,,dct:Location,,Gyvenamoji vietovė,Gyvenamoji vietovė
,,,,,code,integer required,,GYV_KODAS,,5,completed,public,public,dct:identifier,,Identifikavimo kodas,Gyvenamosios vietovės identifikavimo kodas
,,,,,id,integer,,GYV_ID,,5,completed,public,private,dct:identifier,,Techninis identifikatorius,Gyvenamosios vietovės techninis identifikatorius (planuojama neteikti)
,,,,,type,ref,LocationType,TIPAS,,2,completed,package,public,,,,
,,,,,type.title@lt,string,,TIPAS,,5,completed,package,public,,,,
,,,,,type.abbreviation@lt,string,,TIPO_SANTRUMPA,,5,completed,package,public,,,,
,,,,,name@lt,string,,VARDAS_V,,5,completed,public,public,locn:geographicName,,Vardas,Gyvenamosios vietovės vardas vardininko linksniu
,,,,,_label@lt,string,,VARDAS_V,,5,completed,public,public,,,Vardas,Gyvenamosios vietovės vardas vardininko linksniu
,,,,,name_latin,string,,VARDAS_V_LOT,,5,completed,public,public,locn:geographicName,,Vardas lotyniškomis raidėmis,Gyvenamosios vietovės vardas vardininko linksniu lotyniškomis raidėmis
,,,,,name_gen@lt,string,,VARDAS_K,,5,completed,public,public,locn:geographicName,,Vardas kilmininko linksniu,Gyvenamosios vietovės vardas kilmininko linksniu
